,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
0,Taxi Driver,1976,R,09 Feb 1976,114 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","English, Spanish",United States,Nominated for 4 Oscars. 22 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94.0,8.2,"989,092",tt0075314,movie,,"$28,262,574",,,True,,Taxi Driver
1,Deliverance,1972,R,18 Aug 1972,109 min,"Adventure, Drama, Thriller",John Boorman,"James Dickey, John Boorman","Jon Voight, Burt Reynolds, Ned Beatty","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",English,United States,Nominated for 3 Oscars. 2 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMWUyN2RlM2QtYzVlNy00Njc3LTgzMDMtNmJmMTk0OGY3ODFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80.0,7.6,"125,930",tt0068473,movie,,,,,True,,Deliverance
2,Monty Python and the Holy Grail,1975,PG,18 Jul 1975,91 min,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle","Graham Chapman, John Cleese, Eric Idle","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","English, French, Latin, Swedish",United Kingdom,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91.0,8.2,"593,325",tt0071853,movie,,"$2,562,392",,,True,,Monty Python and the Holy Grail
3,The Dirty Dozen,1967,Approved,22 Oct 1967,150 min,"Action, Adventure, War",Robert Aldrich,"Nunnally Johnson, Lukas Heller, E.M. Nathanson","Lee Marvin, Ernest Borgnine, Charles Bronson","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.","English, German, French, Spanish, Latin","United Kingdom, United States",Won 1 Oscar. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNDg0ZjhiN2EtM2I3Mi00MDNlLWJiY2UtNmU0Zjg0YTQyMjg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.7,"82,152",tt0061578,movie,,,,,True,,The Dirty Dozen
4,Monty Python's Flying Circus,1969–1974,TV-14,02 Oct 2018,31S min,Comedy,,"Graham Chapman, Eric Idle, Terry Jones","Graham Chapman, John Cleese, Terry Gilliam",The original surreal sketch comedy showcase for the Monty Python troupe.,"English, Arabic, French, German, Italian, Mandarin, Spanish",United Kingdom,Won 3 BAFTA 4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZDkyZjUyOTUtYWI3Zi00YTJhLTk3MDMtY2Q2MGM1ZjFhNTRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",,8.8,"83,366",tt0063929,series,,,,,True,4.0,Monty Python's Flying Circus
5,Monty Python's Life of Brian,1979,R,17 Aug 1979,94 min,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam","Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","English, Latin",United Kingdom,,https://m.media-amazon.com/images/M/MV5BNDMzY2E4NjEtMTJiZC00Y2UzLWFiM2MtZWVhNTg5OGQxNjk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,8.0,"430,381",tt0079470,movie,,"$20,206,622",,,True,,Monty Python's Life of Brian
6,Dirty Harry,1971,R,23 Dec 1971,102 min,"Action, Crime, Thriller","Don Siegel, Clint Eastwood","Harry Julian Fink, Rita M. Fink, Dean Riesner","Clint Eastwood, Andrew Robinson, Harry Guardino","When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYzNmOWVjN2ItMTQzOS00MTI4LTgxZDItMmZjNTVlMjY5Mjc1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87.0,7.7,"177,150",tt0066999,movie,,"$35,988,495",,,True,,Dirty Harry
7,Bonnie and Clyde,1967,R,14 Aug 1967,111 min,"Action, Biography, Crime",Arthur Penn,"David Newman, Robert Benton, Robert Towne","Warren Beatty, Faye Dunaway, Michael J. Pollard","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",English,United States,Won 2 Oscars. 22 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYWI3ZmM1NmEtMDk4Yi00MzYzLTk0MDctYWJlZjY4MGViNDFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86.0,7.7,"124,683",tt0061418,movie,,,,,True,,Bonnie and Clyde
8,The Blue Lagoon,1980,R,02 Jul 1980,104 min,"Adventure, Drama, Romance",Randal Kleiser,"Henry De Vere Stacpoole, Douglas Day Stewart","Brooke Shields, Christopher Atkins, Leo McKern","During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters.",English,"United States, Fiji, Jamaica",Nominated for 1 Oscar. 4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWJiNTViMTUtNzAwNy00OGNkLWI2NzQtYWFiNTBmMjA4ODI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,5.8,"81,499",tt0080453,movie,,"$58,853,106",,,True,,The Blue Lagoon
9,The Guns of Navarone,1961,Not Rated,28 Apr 1961,158 min,"Action, Adventure, Drama",J. Lee Thompson,"Alistair MacLean, Carl Foreman","David Niven, Gregory Peck, Anthony Quinn","A team of Allied saboteurs is assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","English, Greek, German, Latin","United Kingdom, United States",Won 1 Oscar. 4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMmFkZWIwNzQtNzdlYS00NTg3LWIzMTctM2U2NWQ0MTVlZmU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.5,"57,924",tt0054953,movie,,,,,True,,The Guns of Navarone
