Response,Error,original_title,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
False,Movie not found!,Five Came Back: The Reference Films,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Life of Brian,Monty Python's Life of Brian,1979,R,17 Aug 1979,94 min,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam","Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","English, Latin",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDMzY2E4NjEtMTJiZC00Y2UzLWFiM2MtZWVhNTg5OGQxNjk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.0,"430,381",tt0079470,movie,N/A,"$20,206,622",N/A,N/A,
False,Movie not found!,Alexandria… Why?,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Saladin the Victorious,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,"Beirut, Oh Beirut",,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,The Return of the Prodigal Son,,,,,,,,,,,,,,,,,,,,,,,,,
True,,GoodFellas,Goodfellas,1990,R,21 Sep 1990,145 min,"Biography, Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","English, Italian, Hebrew, Yiddish",United States,Won 1 Oscar. 44 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.7,"1,350,647",tt0099685,movie,N/A,"$46,909,721",N/A,N/A,
True,,Lean On Me,Lean on Me,1989,PG-13,03 Mar 1989,108 min,"Biography, Drama",John G. Avildsen,Michael Schiffer,"Morgan Freeman, Beverly Todd, Robert Guillaume",The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school he is determined to improve by any and all means.,"English, Spanish, Portuguese",United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BN2RmMzFkNDgtMjkxOC00NmRlLTlmNTgtYzkwYjdiYzZiZmU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.4,"23,396",tt0097722,movie,N/A,"$31,906,454",N/A,N/A,
True,,Eddie Murphy Raw,Eddie Murphy: Raw,1987,R,18 Dec 1987,93 min,"Documentary, Comedy",Robert Townsend,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen",Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTAxM2E4MGUtMGMyYS00ZGEyLThjMmQtNjQ1MmQ5ZTEyMzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.6,"21,341",tt0092948,movie,N/A,"$50,504,655",N/A,N/A,
True,,Too Young The Hero,Too Young the Hero,1988,Not Rated,27 Mar 1988,100 min,"Biography, Drama, War",Buzz Kulik,"Calvin Graham, Gary Thomas, David J. Kinghorn","Ricky Schroder, Jon DeVries, Debra Mooney","The true story of Calvin Graham who at the age of twelve, but looking quite a lot older, succeeded in joining the navy during World War II. In spite of his young age, he received a Purple Heart for his bravery in the Naval Battle ...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNDY4ZjEyOWItY2IzOC00NTI4LTk0MTEtNDNkYzYzMmYxMjRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,593,tt0096286,movie,N/A,N/A,N/A,N/A,
